Complaint Category,Location of Issue,Complaint Description,Priority Level,source
WiFi / Internet Problem,Library,Wi-Fi in the Library frequently disconnects and makes it difficult to attend online classes.,Medium,SYNTHETIC
Hostel Issue,Hostel Dining Area,A few hostel room fixtures in the Hostel Dining Area need routine maintenance.,Low,SYNTHETIC
Electrical Issue,Classroom Block,"A burning smell is coming from an electrical panel in the Classroom Block, creating a serious safety concern.",High,SYNTHETIC
WiFi / Internet Problem,Hostel,There is a major network outage in the Hostel and students cannot access required online resources.,High,SYNTHETIC
Water Leakage,Canteen,A minor tap leak has been noticed in the Canteen.,Low,SYNTHETIC
Security / Safety Issue,Lab Block,A security camera near the Lab Block is not functioning properly.,Medium,SYNTHETIC
Classroom Infrastructure,Classroom Block,The projector in the Classroom Block is not working reliably during classes.,Medium,SYNTHETIC
Washroom Issue,Washroom,One flush in the Washroom is faulty but the facility is otherwise usable.,Low,SYNTHETIC
Water Leakage,Lab Block,Heavy water leakage in the Lab Block is reaching electrical equipment and creating a serious safety risk.,High,SYNTHETIC
Parking / Transport Issue,Main Gate,A dangerous traffic situation has developed near the Main Gate and immediate control is required.,High,SYNTHETIC
Hostel Issue,Hostel,.....,High,REAL
WiFi / Internet Problem,Library,The internet connection in the Library is unreliable and students have to reconnect several times.,Medium,SYNTHETIC
WiFi / Internet Problem,Library,Wi-Fi coverage in the Library is poor across part of the area and affects regular academic work.,Medium,SYNTHETIC
Cleanliness Issue,Other,The Other would benefit from more frequent cleaning during the day.,Low,SYNTHETIC
Electrical Issue,Seminar Hall,Multiple lights and fans in the Seminar Hall have stopped working.,Medium,SYNTHETIC
Hostel Issue,Hostel Dining Area,Several room facilities in the Hostel Dining Area are not working properly and need repair.,Medium,SYNTHETIC
Electrical Issue,Hostel,An exposed electrical wire in the Hostel is accessible to students and presents an immediate safety risk.,High,SYNTHETIC
WiFi / Internet Problem,Classroom Block,,Medium,REAL
Electrical Issue,Hostel,There are sparks coming from an electrical socket in the Hostel and the area should be checked immediately.,High,SYNTHETIC
Library Issue,Reading Room,Some books in the Reading Room are not arranged correctly and are difficult to locate.,Low,SYNTHETIC
WiFi / Internet Problem,Lab Block,Internet speed in the Lab Block drops occasionally while accessing normal study material.,Low,SYNTHETIC
Washroom Issue,Washroom,Water supply in the Washroom is inconsistent and affects normal use.,Medium,SYNTHETIC
Library Issue,Reading Room,Several study tables in the Reading Room are damaged and students have limited usable seating.,Medium,SYNTHETIC
Security / Safety Issue,Parking Area,A security camera near the Parking Area is not functioning properly.,Medium,SYNTHETIC
Electrical Issue,Hostel,One fan in the Hostel is making unusual noise and needs maintenance.,Low,SYNTHETIC
Security / Safety Issue,Lab Block,An exposed hazard near the Lab Block is creating an immediate safety risk for students.,High,SYNTHETIC
WiFi / Internet Problem,Hostel,"The entire Hostel has almost no usable Wi-Fi connection, affecting online examinations and academic work.",High,SYNTHETIC
WiFi / Internet Problem,Hostel,"The entire Hostel has almost no usable Wi-Fi connection, affecting online examinations and academic work.",High,SYNTHETIC
Hostel Issue,Hostel Corridor,The Hostel Corridor has a critical facility failure affecting multiple residents and requires immediate attention.,High,SYNTHETIC
Classroom Infrastructure,Other,The main classroom electrical fixture in the Other is damaged and poses a potential safety hazard.,High,SYNTHETIC
Lab / Computer Issue,Lab Block,Required software is unavailable on several computers in the Lab Block.,Medium,SYNTHETIC
Lab / Computer Issue,Lab Block,Most systems in the Lab Block are unavailable during a scheduled practical examination.,High,SYNTHETIC
Water Leakage,Lab Block,There is a small water drip near the Lab Block that should be repaired during routine maintenance.,Low,SYNTHETIC
Washroom Issue,Classroom Block,A major sewage blockage in the Classroom Block is causing wastewater to overflow and requires immediate attention.,High,SYNTHETIC
Classroom Infrastructure,Classroom Block,"The benches in the classroom are very old and damaged. The storage area below the desks used for keeping bags and belongings is broken in several benches, making it inconvenient for students to keep their items safely.",Medium,REAL
Water Leakage,Classroom Block,A pipe in the Classroom Block is leaking continuously and the surrounding floor is becoming wet.,Medium,SYNTHETIC
Security / Safety Issue,Lab Block,A minor issue with a door lock has been noticed near the Lab Block.,Low,SYNTHETIC
Classroom Infrastructure,Seminar Hall,The curtains and window fittings in the Seminar Hall need minor repair.,Low,SYNTHETIC
Hostel Issue,Hostel,Water supply in the Hostel is irregular and students are facing difficulty with daily activities.,Medium,SYNTHETIC
WiFi / Internet Problem,Hostel,"Wi-Fi is slightly slow in the Hostel, especially during busy hours.",Low,SYNTHETIC
Lab / Computer Issue,Project Lab,The systems in part of the Project Lab are frequently freezing during practical sessions.,Medium,SYNTHETIC
Lab / Computer Issue,Project Lab,A serious electrical or hardware fault has shut down a major section of the Project Lab.,High,SYNTHETIC
Lab / Computer Issue,Lab Block,One computer in the Lab Block is running slowly and may need routine maintenance.,Low,SYNTHETIC
Cleanliness Issue,Lab Block,The Lab Block would benefit from more frequent cleaning during the day.,Low,SYNTHETIC
WiFi / Internet Problem,Classroom Block,,Medium,REAL
Cleanliness Issue,Lab Block,Some waste has been left behind in the Lab Block after regular campus activities.,Low,SYNTHETIC
WiFi / Internet Problem,Classroom Block,"WiFi signal near the classroom block is unstable and keeps disconnecting, causing difficulty in accessing online materials.",Medium,REAL
WiFi / Internet Problem,Classroom Block,,Medium,REAL
Classroom Infrastructure,Classroom Block,Doors and windows in the Classroom Block are damaged and require maintenance.,Medium,SYNTHETIC
Cleanliness Issue,Other,"Most of the washrooms are not well maintained, needs better infra and better management.",High,REAL
Cleanliness Issue,Lab Block,Some waste has been left behind in the Lab Block after regular campus activities.,Low,SYNTHETIC
Parking / Transport Issue,Bus Area,The main access route near the Bus Area is obstructed and emergency movement could be affected.,High,SYNTHETIC
Washroom Issue,Classroom Block,The Classroom Block has severe drainage or sanitation problems and is currently difficult to use safely.,High,SYNTHETIC
Electrical Issue,Classroom Block,One fan in the Classroom Block is making unusual noise and needs maintenance.,Low,SYNTHETIC
Security / Safety Issue,Parking Area,The main door lock near the Parking Area is unreliable and needs repair.,Medium,SYNTHETIC
Electrical Issue,Canteen,A few lights in the Canteen are not working properly.,Low,SYNTHETIC
Water Leakage,Canteen,A major pipe has burst in the Canteen and a large amount of water is spreading through the area.,High,SYNTHETIC
WiFi / Internet Problem,Classroom Block,College wifi not available in classrooms.,High,REAL
Cleanliness Issue,Lab Block,Some waste has been left behind in the Lab Block after regular campus activities.,Low,SYNTHETIC
Classroom Infrastructure,Seminar Hall,The curtains and window fittings in the Seminar Hall need minor repair.,Low,SYNTHETIC
Electrical Issue,Hostel,Multiple lights and fans in the Hostel have stopped working.,Medium,SYNTHETIC
Library Issue,Reading Room,The lighting in one section of the Reading Room is slightly inadequate.,Low,SYNTHETIC
WiFi / Internet Problem,Lab Block,The Wi-Fi signal in the Lab Block is weak in a few areas but still works intermittently.,Low,SYNTHETIC
WiFi / Internet Problem,Lab Block,There is a major network outage in the Lab Block and students cannot access required online resources.,High,SYNTHETIC
WiFi / Internet Problem,Seminar Hall,Internet speed in the Seminar Hall drops occasionally while accessing normal study material.,Low,SYNTHETIC
Cleanliness Issue,Hostel,hostel mess is not hygienic. ,High,REAL
Parking / Transport Issue,Campus Road,A few parking spaces near the Campus Road are poorly organized.,Low,SYNTHETIC
Cleanliness Issue,Other,The men's washroom always smells really bad even if you just stand outside it. ,High,REAL
WiFi / Internet Problem,Seminar Hall,The network in the Seminar Hall becomes unavailable for long periods during the day.,Medium,SYNTHETIC
Electrical Issue,Classroom Block,"A burning smell is coming from an electrical panel in the Classroom Block, creating a serious safety concern.",High,SYNTHETIC
Cleanliness Issue,Other,Waste bins in the Other are often overflowing and need more frequent collection.,Medium,SYNTHETIC
Security / Safety Issue,Hostel,The main door lock near the Hostel is unreliable and needs repair.,Medium,SYNTHETIC
Library Issue,Library Computer Section,The lighting in one section of the Library Computer Section is slightly inadequate.,Low,SYNTHETIC
Washroom Issue,Classroom Block,A light in the Classroom Block is not working properly.,Low,SYNTHETIC
Cleanliness Issue,Other,Garbage is accumulating in the Other and has not been cleared regularly.,Medium,SYNTHETIC
Washroom Issue,Washroom,A light in the Washroom is not working properly.,Low,SYNTHETIC
Classroom Infrastructure,Classroom Block,The curtains and window fittings in the Classroom Block need minor repair.,Low,SYNTHETIC
Hostel Issue,Hostel Room,Minor furniture damage has been noticed in the Hostel Room.,Low,SYNTHETIC
Classroom Infrastructure,Seminar Hall,Doors and windows in the Seminar Hall are damaged and require maintenance.,Medium,SYNTHETIC
Electrical Issue,Lab Block,One electrical socket in the Lab Block is loose and needs routine repair.,Low,SYNTHETIC
Classroom Infrastructure,Seminar Hall,A large section of classroom infrastructure in the Seminar Hall has become unsafe for normal student use.,High,SYNTHETIC
